id_tenant,sleep_schedule,work_shift,energy_rhythm,education_level,budget,languages_spoken,social_level,cleanliness_rating,likes_reading,likes_cooking,cooking_preference,on_diet,smoker,likes_pets,pet_allergy,frequent_visits,remote_worker,plays_sports,listens_loud_music,preferred_music_genre,ideal_weekend_plan,noise_tolerance,shares_common_items,relationship_status
69,Early bird,Afternoon,Low,High School,592,"English, Italian, French",Introvert,2,Yes,No,Order,No,Yes,Yes,No,Yes,Yes,No,Yes,Pop,Family Time,Low,No,Relationship
70,Night owl,Afternoon,Low,Bachelor's,717,English,Balanced,2,Yes,Yes,Order,Yes,No,No,No,No,Yes,No,No,Pop,Hike,High,Yes,Relationship
71,Flexible,Morning,Low,Master's,1127,"German, Italian",Balanced,2,Yes,Yes,Cook,Yes,Yes,Yes,No,Yes,No,Yes,Yes,None,Party,Medium,No,Relationship
72,Early bird,Night,Medium,High School,382,"Italian, Spanish, German",Balanced,3,Yes,Yes,Cook,Yes,No,Yes,No,No,No,No,Yes,Reggaeton,Hike,Medium,Yes,Single
73,Night owl,Afternoon,Medium,Bachelor's,994,"French, Italian, Spanish",Extrovert,5,Yes,Yes,Order,Yes,No,No,No,Yes,Yes,Yes,No,Techno,Chill,Medium,Yes,Relationship
74,Flexible,Morning,Medium,Master's,951,"French, Spanish, Italian",Balanced,1,No,No,Cook,Yes,No,No,Yes,No,No,No,No,Techno,Hike,Medium,Yes,Single
75,Early bird,Night,High,Bachelor's,1165,"German, French",Balanced,2,Yes,Yes,Order,Yes,No,Yes,No,Yes,Yes,No,Yes,Jazz,Travel,Medium,Yes,Relationship
76,Night owl,Morning,Medium,Master's,552,Spanish,Introvert,1,No,Yes,Cook,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Jazz,Party,Low,Yes,Relationship
77,Night owl,Night,Medium,PhD,944,"French, German",Balanced,4,No,No,Order,Yes,No,No,Yes,No,Yes,Yes,No,Jazz,Hike,High,No,Relationship
78,Flexible,Night,High,PhD,1121,"French, English, German",Balanced,5,Yes,Yes,Cook,Yes,Yes,No,No,Yes,No,Yes,Yes,Classical,Travel,High,Yes,Relationship
79,Flexible,Afternoon,High,High School,1190,"Italian, French",Introvert,1,Yes,No,Order,No,Yes,Yes,No,No,Yes,Yes,Yes,Techno,Chill,Low,Yes,Relationship
80,Flexible,Afternoon,Low,Bachelor's,487,"French, German, Spanish",Extrovert,3,No,Yes,Cook,No,Yes,Yes,No,No,No,No,No,Techno,Travel,High,Yes,Single
81,Early bird,Night,High,PhD,1145,"French, Spanish, English",Extrovert,3,Yes,No,Order,Yes,Yes,No,Yes,No,Yes,No,Yes,None,Chill,Medium,Yes,Single
82,Early bird,Night,High,PhD,771,"Italian, English",Introvert,1,Yes,No,Order,Yes,No,No,No,Yes,Yes,No,No,Jazz,Travel,Low,Yes,Relationship
83,Early bird,Afternoon,High,PhD,1055,"Spanish, English",Balanced,5,No,Yes,Order,No,No,No,Yes,Yes,Yes,No,Yes,None,Hike,Low,Yes,Single
84,Night owl,Afternoon,Low,High School,798,"Spanish, French, English",Extrovert,1,Yes,No,Order,No,Yes,Yes,Yes,No,No,Yes,No,Techno,Hike,High,No,Relationship
85,Flexible,Night,Medium,High School,1131,"Italian, Spanish",Balanced,2,No,No,Order,No,No,No,Yes,Yes,Yes,Yes,Yes,Rock,Family Time,Medium,Yes,Relationship
86,Night owl,Morning,Low,Master's,838,Italian,Extrovert,2,No,No,Cook,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rock,Chill,Low,Yes,Relationship
87,Flexible,Morning,Medium,Bachelor's,613,"Spanish, French, English",Extrovert,2,No,Yes,Cook,Yes,No,Yes,Yes,No,No,No,Yes,Pop,Family Time,Medium,No,Relationship
88,Early bird,Afternoon,Low,Master's,796,Spanish,Balanced,3,Yes,No,Order,Yes,No,No,Yes,Yes,Yes,Yes,No,None,Family Time,Medium,No,Relationship
89,Night owl,Night,Low,Master's,946,"German, English",Introvert,1,Yes,Yes,Order,Yes,Yes,Yes,Yes,Yes,No,No,No,Pop,Travel,Low,No,Single
90,Flexible,Afternoon,Low,Bachelor's,591,"German, English, Spanish",Introvert,4,Yes,Yes,Cook,Yes,No,No,Yes,No,Yes,Yes,No,Rock,Chill,High,Yes,Single
91,Flexible,Afternoon,Medium,PhD,1130,"German, Spanish, Italian",Extrovert,1,No,No,Order,No,No,Yes,No,Yes,No,Yes,Yes,Classical,Hike,Low,Yes,Single
92,Flexible,Night,High,Master's,768,English,Extrovert,3,Yes,No,Cook,No,Yes,No,No,Yes,No,No,No,None,Family Time,High,No,Single
93,Flexible,Morning,High,High School,980,"French, Italian, English",Introvert,1,Yes,No,Order,No,No,No,Yes,Yes,Yes,Yes,No,Jazz,Party,High,No,Single
94,Early bird,Afternoon,Low,Master's,935,"English, French, German",Extrovert,2,Yes,No,Cook,Yes,No,No,No,Yes,No,Yes,No,Techno,Family Time,Medium,Yes,Relationship
95,Night owl,Morning,Medium,PhD,510,"French, English, Spanish",Extrovert,5,No,No,Order,No,No,Yes,Yes,Yes,No,No,No,Jazz,Hike,Low,Yes,Relationship
96,Flexible,Night,High,Bachelor's,578,"French, Spanish, German",Introvert,1,No,No,Order,No,Yes,Yes,No,No,No,Yes,No,Techno,Family Time,Low,Yes,Single
97,Early bird,Night,Low,Bachelor's,784,"French, English",Balanced,1,No,Yes,Cook,Yes,No,Yes,No,Yes,Yes,No,No,Techno,Chill,High,Yes,Single
98,Night owl,Afternoon,High,PhD,575,French,Balanced,5,No,Yes,Order,Yes,Yes,No,No,Yes,Yes,Yes,Yes,None,Family Time,Low,Yes,Single
99,Flexible,Afternoon,High,High School,773,"German, French, English",Introvert,4,No,Yes,Order,Yes,Yes,No,No,No,No,Yes,Yes,Rock,Party,Low,Yes,Relationship
100,Flexible,Afternoon,Medium,Master's,894,English,Balanced,5,No,No,Cook,No,Yes,No,No,Yes,No,Yes,Yes,Techno,Party,High,Yes,Single
101,Flexible,Night,High,High School,648,"German, Spanish, English",Introvert,1,No,No,Cook,No,Yes,No,Yes,No,No,No,No,Reggaeton,Chill,Medium,Yes,Relationship
102,Night owl,Morning,Medium,Master's,1196,Spanish,Introvert,3,No,Yes,Order,Yes,No,No,No,No,No,No,Yes,Reggaeton,Party,Low,Yes,Single
103,Night owl,Night,Low,Bachelor's,516,"English, French, Spanish",Extrovert,1,Yes,Yes,Order,No,Yes,Yes,No,Yes,Yes,Yes,No,Classical,Travel,High,No,Relationship
104,Early bird,Afternoon,Low,Master's,1118,"Spanish, Italian",Extrovert,2,No,Yes,Cook,No,Yes,No,Yes,Yes,Yes,No,No,Rock,Hike,Medium,Yes,Relationship
105,Flexible,Morning,Medium,PhD,822,"German, French, Italian",Introvert,5,Yes,No,Order,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Jazz,Travel,High,Yes,Single
106,Early bird,Morning,Low,PhD,858,"German, French, Spanish",Introvert,1,No,No,Order,Yes,No,No,Yes,Yes,Yes,No,No,Reggaeton,Hike,High,No,Single
107,Night owl,Morning,Medium,High School,749,"Spanish, Italian, French",Extrovert,2,Yes,No,Cook,Yes,No,No,No,Yes,No,Yes,Yes,Jazz,Chill,Medium,No,Single
108,Flexible,Afternoon,Medium,High School,1172,Spanish,Balanced,4,No,Yes,Cook,No,No,No,Yes,Yes,No,Yes,Yes,Rock,Hike,Medium,Yes,Single
109,Night owl,Night,Medium,High School,942,"Spanish, Italian",Balanced,2,No,No,Cook,Yes,No,Yes,No,Yes,Yes,Yes,No,Classical,Travel,Medium,No,Relationship
110,Night owl,Morning,High,High School,573,"French, Spanish, Italian",Extrovert,1,No,Yes,Cook,Yes,No,Yes,Yes,No,No,Yes,Yes,Techno,Family Time,Medium,Yes,Single
111,Flexible,Night,High,Master's,1050,German,Extrovert,4,No,No,Order,Yes,Yes,No,Yes,No,Yes,No,No,Reggaeton,Chill,High,Yes,Single
112,Flexible,Night,Low,Bachelor's,846,English,Introvert,1,No,No,Order,No,No,Yes,Yes,Yes,Yes,No,No,Classical,Family Time,High,No,Relationship
113,Night owl,Night,High,Bachelor's,1153,"French, English, Italian",Balanced,3,Yes,No,Order,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Techno,Hike,High,Yes,Relationship
114,Early bird,Morning,High,Bachelor's,670,German,Introvert,1,No,No,Order,No,No,No,Yes,No,No,No,Yes,None,Travel,Medium,No,Single
115,Early bird,Afternoon,Medium,Master's,1095,"French, Spanish",Balanced,5,No,No,Order,No,Yes,Yes,Yes,No,Yes,No,No,Classical,Hike,Medium,No,Single
116,Night owl,Morning,High,Master's,1101,English,Extrovert,4,No,No,Order,No,No,Yes,Yes,No,Yes,No,No,Reggaeton,Family Time,Medium,Yes,Single
117,Early bird,Afternoon,Low,PhD,1107,"Spanish, English",Introvert,5,Yes,No,Order,No,No,Yes,Yes,No,Yes,No,Yes,Pop,Family Time,High,No,Relationship
118,Flexible,Afternoon,Medium,Bachelor's,1183,French,Extrovert,5,No,No,Order,No,Yes,No,No,Yes,Yes,Yes,Yes,Techno,Party,High,Yes,Relationship
119,Early bird,Afternoon,Medium,Master's,586,French,Extrovert,5,Yes,Yes,Cook,Yes,No,No,Yes,Yes,No,No,No,None,Travel,High,No,Single
120,Early bird,Night,High,PhD,1030,"German, Italian",Introvert,1,Yes,Yes,Order,Yes,No,Yes,No,Yes,Yes,No,Yes,Reggaeton,Chill,Low,No,Single
121,Early bird,Night,Low,Bachelor's,660,"German, Italian",Balanced,1,No,Yes,Order,No,Yes,No,No,Yes,No,Yes,Yes,Rock,Travel,Medium,Yes,Relationship
122,Early bird,Morning,High,PhD,1059,"Spanish, English, French",Balanced,1,Yes,No,Order,No,No,Yes,Yes,No,No,Yes,No,Pop,Party,Medium,Yes,Single
123,Flexible,Afternoon,High,Bachelor's,953,"French, Spanish",Introvert,3,No,No,Order,Yes,Yes,No,Yes,Yes,Yes,No,No,Techno,Chill,Low,Yes,Relationship
124,Early bird,Afternoon,Low,Bachelor's,458,Italian,Extrovert,5,No,Yes,Order,No,No,No,No,No,No,Yes,No,Classical,Hike,Medium,Yes,Relationship
125,Early bird,Afternoon,High,Master's,605,"Italian, English, German",Balanced,3,Yes,No,Cook,Yes,Yes,No,Yes,Yes,No,No,No,Rock,Party,Medium,Yes,Relationship
126,Night owl,Morning,Low,High School,775,"French, German",Extrovert,4,No,Yes,Cook,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Pop,Family Time,Low,No,Single
127,Flexible,Night,High,Bachelor's,578,"English, Spanish, German",Extrovert,2,Yes,Yes,Cook,Yes,Yes,Yes,No,No,Yes,No,Yes,Jazz,Party,Low,No,Relationship
128,Night owl,Afternoon,Low,Bachelor's,913,"French, Spanish",Extrovert,1,No,No,Cook,Yes,Yes,Yes,Yes,No,No,Yes,No,Pop,Party,High,Yes,Single
129,Flexible,Morning,Medium,Master's,753,"French, German",Introvert,2,No,No,Order,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Classical,Family Time,Low,No,Relationship
130,Night owl,Afternoon,Medium,High School,563,"French, English, German",Extrovert,4,No,Yes,Order,No,No,No,Yes,No,No,Yes,No,Pop,Chill,Medium,No,Single
131,Flexible,Afternoon,Low,Bachelor's,432,"French, Spanish",Balanced,2,No,No,Cook,No,No,No,No,Yes,No,Yes,Yes,Techno,Travel,Low,Yes,Single
132,Flexible,Afternoon,Low,High School,409,"German, French",Introvert,1,No,Yes,Cook,Yes,No,No,No,Yes,No,No,No,Pop,Travel,High,Yes,Relationship
133,Early bird,Morning,High,Master's,659,"Spanish, French",Balanced,3,No,No,Cook,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Pop,Family Time,Low,Yes,Relationship
134,Early bird,Afternoon,High,Master's,1143,"German, Spanish",Extrovert,4,No,No,Order,No,No,No,Yes,No,Yes,No,No,Jazz,Hike,Low,No,Single
135,Night owl,Morning,High,Bachelor's,716,"English, German",Extrovert,3,No,No,Cook,No,No,Yes,No,Yes,Yes,Yes,No,Reggaeton,Party,Medium,Yes,Single
136,Flexible,Afternoon,Low,Bachelor's,771,"German, Spanish, Italian",Balanced,2,Yes,Yes,Order,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Reggaeton,Travel,Medium,No,Single
137,Early bird,Morning,Low,High School,371,"Spanish, English",Balanced,4,No,No,Order,Yes,No,No,Yes,Yes,No,No,No,Rock,Hike,Low,No,Single
138,Flexible,Afternoon,Medium,Bachelor's,485,"English, German, French",Introvert,3,No,Yes,Cook,Yes,No,Yes,No,No,Yes,Yes,Yes,Pop,Hike,Low,No,Single
139,Flexible,Night,Medium,High School,548,"Spanish, Italian",Introvert,4,No,No,Cook,Yes,No,Yes,No,Yes,No,No,Yes,Classical,Hike,Low,No,Single
140,Night owl,Night,Medium,High School,843,"French, Spanish",Balanced,2,No,No,Order,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Chill,Low,Yes,Single
141,Early bird,Afternoon,Low,Bachelor's,369,"Spanish, Italian",Balanced,5,Yes,No,Cook,Yes,No,No,Yes,No,Yes,No,Yes,Classical,Chill,Low,Yes,Relationship
142,Flexible,Afternoon,High,PhD,958,"French, Spanish",Extrovert,1,No,Yes,Order,Yes,Yes,No,Yes,Yes,No,No,Yes,Classical,Travel,Low,No,Relationship
143,Night owl,Night,Low,High School,731,"French, Italian",Balanced,3,No,No,Order,Yes,No,Yes,No,Yes,No,No,No,Techno,Party,Medium,Yes,Relationship
144,Flexible,Afternoon,High,High School,524,"English, Italian, German",Introvert,5,No,Yes,Order,No,Yes,Yes,Yes,No,Yes,No,Yes,Pop,Family Time,High,Yes,Relationship
145,Night owl,Afternoon,Medium,Master's,1156,French,Introvert,1,No,Yes,Cook,No,No,Yes,No,No,No,No,No,Rock,Hike,Low,No,Relationship
146,Early bird,Morning,Low,PhD,1070,"German, Spanish, English",Balanced,5,Yes,Yes,Cook,No,Yes,Yes,Yes,Yes,No,Yes,No,Rock,Travel,High,Yes,Relationship
147,Flexible,Afternoon,High,High School,473,"Italian, English, German",Balanced,1,Yes,Yes,Order,Yes,No,Yes,No,No,Yes,No,Yes,None,Hike,Low,No,Relationship
148,Flexible,Afternoon,High,Master's,998,"Italian, German",Extrovert,5,No,No,Order,Yes,No,No,No,No,No,No,No,None,Chill,High,Yes,Single
149,Night owl,Morning,Medium,PhD,355,"Italian, Spanish",Introvert,3,No,Yes,Cook,Yes,No,Yes,No,No,Yes,Yes,Yes,Rock,Party,Low,Yes,Relationship
150,Early bird,Afternoon,High,PhD,540,"English, Spanish, French",Introvert,5,Yes,No,Cook,Yes,Yes,Yes,No,No,No,Yes,No,Rock,Party,Medium,Yes,Single
151,Early bird,Night,High,Master's,818,"English, Spanish",Extrovert,4,No,No,Order,No,No,No,No,No,Yes,Yes,Yes,Pop,Hike,Medium,No,Single
152,Night owl,Afternoon,Medium,Bachelor's,1196,"French, Italian",Extrovert,1,Yes,No,Order,Yes,No,Yes,No,Yes,No,Yes,Yes,None,Party,High,Yes,Relationship
153,Early bird,Afternoon,High,PhD,805,"German, Italian, Spanish",Introvert,4,No,Yes,Order,No,No,No,No,Yes,No,No,No,Classical,Party,Low,No,Single
154,Early bird,Morning,Low,Bachelor's,942,"Spanish, Italian, German",Balanced,2,No,No,Order,Yes,No,No,Yes,No,Yes,No,Yes,Pop,Chill,High,No,Relationship
155,Early bird,Night,Low,High School,499,"English, Italian, German",Balanced,1,Yes,Yes,Cook,No,No,Yes,Yes,Yes,Yes,No,Yes,None,Party,Low,No,Single
156,Early bird,Afternoon,High,PhD,440,"German, Italian, English",Introvert,5,Yes,No,Cook,Yes,Yes,No,No,Yes,Yes,No,No,Jazz,Family Time,Low,No,Single
